rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,train/loss,train/value_loss
110.89,60,-20.269999999999996,59392,29,985,0.2,0.0056074653,0.04443359375,-0.004778752668062225,0.24649375677108765,0.0003,-1.1748020946979523,280,27.960790634155273,53.512142992019655
113.92,62,-21.714000000000002,61440,30,987,0.2,0.00822242,0.11669921875,-0.009214397240430116,0.16607129573822021,0.0003,-1.1783767186105252,290,26.919260025024414,62.62626752853394
113.85,64,-21.330999999999996,63488,31,989,0.2,0.0077709593,0.094921875,-0.006438252286170609,0.10978031158447266,0.0003,-1.1881077356636525,300,19.370019912719727,44.51324579119682
117.08,66,-23.362000000000002,65536,32,990,0.2,0.008601613,0.077880859375,-0.007325648222467862,0.19803345203399658,0.0003,-1.1823731519281864,310,23.00575065612793,43.6981430798769
107.77,68,-17.71,67584,33,992,0.2,0.0042142654,0.05703125,-0.0055719667201628905,0.19407719373703003,0.0003,-1.1512995842844247,320,21.749309539794922,54.48947821259499
112.65,70,-20.693999999999996,69632,34,994,0.2,0.007735111,0.121875,-0.013011422377894632,0.17623424530029297,0.0003,-1.1302697412669658,330,24.90886878967285,70.64785734415054
113.38,72,-21.115000000000006,71680,35,995,0.2,0.008502996,0.113671875,-0.012290716866846196,0.14612042903900146,0.0003,-1.1744700334966183,340,32.23743438720703,45.36288422942162
109.8,73,-18.462999999999997,73728,36,996,0.2,0.0060270783,0.074755859375,-0.006409908364003058,0.15694588422775269,0.0003,-1.1770216532051563,350,18.494333267211914,39.73282412588596
109.23,76,-18.130000000000003,75776,37,996,0.2,0.005182095,0.0736328125,-0.006533802264311816,0.15073472261428833,0.0003,-1.1592494033277034,360,28.68277931213379,52.68713734149933
113.45,77,-20.824999999999996,77824,38,998,0.2,0.0068774624,0.058447265625,-0.007020462237414904,0.2106824517250061,0.0003,-1.1508624665439129,370,31.2343807220459,50.63778157234192
119.86,79,-25.092999999999996,79872,39,999,0.2,0.0068932613,0.057421875,-0.005105813672707881,0.24727016687393188,0.0003,-1.1372330479323864,380,25.8896427154541,47.28049852252006
121.88,81,-26.075,81920,40,999,0.2,0.0074802004,0.072265625,-0.006097968023823341,0.25302594900131226,0.0003,-1.148388784378767,390,9.37407112121582,32.88539011180401
121.9,83,-25.801,83968,41,1001,0.2,0.007995002,0.069970703125,-0.006840062422270421,0.23137986660003662,0.0003,-1.1784034673124553,400,20.18707847595215,51.33987402319908
118.57,85,-23.612999999999996,86016,42,1001,0.2,0.0058899387,0.0431640625,-0.006036864886118565,0.12082165479660034,0.0003,-1.1888817232102156,410,18.42582893371582,52.4090692281723
115.3,87,-21.125,88064,43,1002,0.2,0.009111012,0.13046875,-0.011513356908108108,0.11931270360946655,0.0003,-1.1877840414643288,420,20.244773864746094,62.22644100189209
119.64,89,-23.572,90112,44,1002,0.2,0.006167365,0.054150390625,-0.006237779727962333,0.16786211729049683,0.0003,-1.1677164934575557,430,34.39195251464844,57.54187418222428
113.7,91,-19.54,92160,45,1003,0.2,0.005879907,0.074072265625,-0.007855121725151548,0.16062074899673462,0.0003,-1.19343629963696,440,12.53130054473877,33.525647515058516
106.25,93,-15.583000000000002,94208,46,1005,0.2,0.006146051,0.082470703125,-0.007767165213590488,0.16843408346176147,0.0003,-1.1459813158959151,450,30.89232635498047,56.805505734682086
103.56,95,-14.342,96256,47,1006,0.2,0.008731766,0.094873046875,-0.00874874974397244,0.14404529333114624,0.0003,-1.1150977231562138,460,43.134212493896484,59.06395756602287
104.18,97,-14.880000000000003,98304,48,1006,0.2,0.0088143945,0.078515625,-0.00895457758451812,0.1348831057548523,0.0003,-1.1371743861585855,470,21.882936477661133,54.967869168519975
93.68,99,-8.635,100352,49,1006,0.2,0.006846642,0.045654296875,-0.007368478209536988,0.1462450623512268,0.0003,-1.1018018597736954,480,24.508636474609375,53.08668645024299
94.18,101,-8.638,102400,50,1007,0.2,0.0060315514,0.046923828125,-0.005260593102138955,0.14682316780090332,0.0003,-1.088166294246912,490,28.646575927734375,51.62824395298958
94.14,103,-8.914,104448,51,1008,0.2,0.0069516026,0.06083984375,-0.0058674557105405254,0.150007426738739,0.0003,-1.1146912401542068,500,16.880720138549805,45.170373106002806
95.47,106,-9.838,106496,52,1002,0.2,0.0072472715,0.076806640625,-0.008139717273297719,0.22554242610931396,0.0003,-1.0930415069684387,510,30.715660095214844,45.600132101774214
98.86,108,-11.907,108544,53,996,0.2,0.007895096,0.0669921875,-0.008861858214368112,0.21740031242370605,0.0003,-1.0477700913324952,520,29.778608322143555,54.676850992441175
95.28,111,-10.079,110592,54,990,0.2,0.0064766975,0.067431640625,-0.00753697501932038,0.26569604873657227,0.0003,-1.110557259246707,530,19.273273468017578,43.46093012094498
95.67,114,-9.955000000000002,112640,55,983,0.2,0.004987387,0.038916015625,-0.0032191407633945348,0.17290514707565308,0.0003,-1.063431791216135,540,25.4082088470459,53.10400480031967
93.63,117,-8.752,114688,56,974,0.2,0.009655121,0.098486328125,-0.010044760706659873,0.09035581350326538,0.0003,-1.0806709816679358,550,19.576335906982422,46.08040976524353
91.89,120,-7.952999999999999,116736,57,968,0.2,0.0055253245,0.051708984375,-0.0033611199338338337,0.20819777250289917,0.0003,-1.0587117908522488,560,23.312854766845703,47.82346670627594
92.29,123,-8.411999999999999,118784,58,963,0.2,0.0061730067,0.05390625,-0.007422332668647868,0.16178250312805176,0.0003,-1.096703576669097,570,18.466150283813477,43.32392529845238
90.64,126,-7.467000000000001,120832,59,958,0.2,0.0068333405,0.070849609375,-0.006632831440947484,0.27032965421676636,0.0003,-1.11021118555218,580,20.04893684387207,43.46205514073372
92.24,128,-8.14,122880,60,954,0.2,0.005535499,0.05283203125,-0.004356810577155557,0.2327953577041626,0.0003,-1.1044974956661462,590,26.08984375,48.85775992870331
94.47,131,-9.407,124928,61,948,0.2,0.0068146805,0.06474609375,-0.006776267438544892,0.2115972638130188,0.0003,-1.1328470539301634,600,28.028430938720703,46.35528672933579
87.58,134,-5.366999999999998,126976,62,941,0.2,0.0054224133,0.05302734375,-0.004386416070337873,0.2194545865058899,0.0003,-1.0772128876298666,610,21.865896224975586,42.85700272321701
92.04,137,-8.279,129024,63,940,0.2,0.007831048,0.075341796875,-0.0064748609569505785,0.2612062096595764,0.0003,-1.0904288891702891,620,19.764652252197266,43.86239112019539
85.46,139,-4.952000000000001,131072,64,941,0.2,0.004277618,0.039453125,-0.006116674414079171,0.2904127836227417,0.0003,-1.095046741515398,630,22.4863224029541,37.28168101906776
87.77,141,-6.269000000000001,133120,65,942,0.2,0.0063394373,0.050341796875,-0.007079765625530854,0.22914737462997437,0.0003,-1.0479225987568497,640,24.861948013305664,56.415157842636106
86.24,143,-4.560000000000001,135168,66,943,0.2,0.011079745,0.13701171875,-0.010656294845102821,0.1765228509902954,0.0003,-1.0766021402552723,650,20.208890914916992,35.19079481363296
88.31,145,-4.862,137216,67,944,0.2,0.0073022903,0.078564453125,-0.00808750121650519,0.17685949802398682,0.0003,-1.0598464015871287,660,18.633081436157227,40.213996815681455
87.8,147,-4.31,139264,68,944,0.2,0.006978054,0.080859375,-0.007539249813999049,0.13532298803329468,0.0003,-1.106750862672925,670,19.77855682373047,36.29771416187286
88.43,149,-4.468999999999999,141312,69,945,0.2,0.00529918,0.069921875,-0.006523337957332842,0.17487460374832153,0.0003,-1.082259158603847,680,16.870603561401367,40.305108439922336
86.22,151,-3.1630000000000003,143360,70,946,0.2,0.0061223684,0.05703125,-0.00509020821627928,0.22640550136566162,0.0003,-1.0679475435987116,690,23.05788803100586,38.878503751754764
86.24,153,-3.3280000000000007,145408,71,947,0.2,0.006186692,0.055908203125,-0.006696716294754879,0.2796406149864197,0.0003,-1.0725162539631128,700,20.855072021484375,35.82994427680969
84.71,155,-2.62,147456,72,948,0.2,0.007538178,0.0818359375,-0.00915567816773546,0.2815837264060974,0.0003,-1.0888929573819042,710,13.851819038391113,34.741795963048936
87.59,158,-4.148000000000001,149504,73,945,0.2,0.009668207,0.14091796875,-0.013301125065481756,0.2428622841835022,0.0003,-1.0331654952839018,720,23.102380752563477,41.44036644101143
88.88,160,-4.784,151552,74,941,0.2,0.008154657,0.083349609375,-0.009000159682182129,0.20735347270965576,0.0003,-1.0820300882682203,730,17.05649185180664,34.03683978319168
85.29,163,-3.166999999999999,153600,75,937,0.2,0.008708786,0.0857421875,-0.0060073926346376535,0.2356826663017273,0.0003,-1.0960267286747694,740,14.038457870483398,32.65034559965134
87.45,166,-4.223,155648,76,935,0.2,0.0053230817,0.05341796875,-0.005480520275887102,0.26140475273132324,0.0003,-1.0404411863535643,750,18.265607833862305,42.023787105083464
83.96,168,-2.485999999999999,157696,77,933,0.2,0.008097303,0.0986328125,-0.008234010680462233,0.34758299589157104,0.0003,-1.0549693129956723,760,11.223302841186523,40.39933170676231
82.87,171,-2.083,159744,78,931,0.2,0.0065175802,0.0625,-0.006999900614027865,0.1805153489112854,0.0003,-1.0427729265764356,770,20.483142852783203,43.18393024802208
84.9,174,-3.315,161792,79,929,0.2,0.0071806535,0.067138671875,-0.008683884084166493,0.2114071249961853,0.0003,-1.016967430524528,780,22.49881362915039,38.402944159507754
85.03,176,-4.1339999999999995,163840,80,927,0.2,0.009743761,0.11875,-0.010820876715297346,0.23679345846176147,0.0003,-1.0390234159305691,790,11.771862030029297,37.72125225663185
86.15,179,-4.845999999999999,165888,81,925,0.2,0.006512104,0.066259765625,-0.006759589447756298,0.31320691108703613,0.0003,-1.0170654065907,800,16.3909854888916,42.755294752120975
89.32,181,-7.946999999999999,167936,82,924,0.2,0.008191975,0.06611328125,-0.006339054525597021,0.2786732316017151,0.0003,-1.0499389879405499,810,23.04855728149414,38.48362857103348
84.27,184,-4.819,169984,83,923,0.2,0.010252745,0.087744140625,-0.010066146032477264,0.42355990409851074,0.0003,-1.044917545840144,820,16.58099365234375,36.475665631890294
82.49,186,-2.733,172032,84,921,0.2,0.006941166,0.05634765625,-0.00715740334126167,0.21732741594314575,0.0003,-1.0215670753270387,830,23.780818939208984,45.314369052648544
85.43,189,-4.114,174080,85,919,0.2,0.006071686,0.07333984375,-0.006499706524482463,0.25083160400390625,0.0003,-1.0438296468928456,840,24.282033920288086,37.52759671807289
82.31,191,-0.06300000000000004,176128,86,918,0.2,0.008570733,0.09716796875,-0.010699219221714884,0.3477618098258972,0.0003,-1.0818291243165732,850,10.302667617797852,32.86892484426498
81.47,194,0.36499999999999994,178176,87,917,0.2,0.006520789,0.05009765625,-0.005570702726254239,0.2699509859085083,0.0003,-1.0727247109636664,860,22.36945152282715,40.21882069706917
79.99,196,0.971,180224,88,916,0.2,0.006624749,0.053515625,-0.0060422107810154555,0.3174460530281067,0.0003,-0.9892445417121053,870,19.496244430541992,39.914431762695315
74.56,199,3.806,182272,89,914,0.2,0.010319209,0.0734375,-0.008108448194980156,0.2528671622276306,0.0003,-0.9868305766955018,880,15.047712326049805,38.3545824766159
72.76,201,4.397,184320,90,912,0.2,0.0076458897,0.060205078125,-0.008033375915692887,0.30408382415771484,0.0003,-1.004739437252283,890,16.823970794677734,34.131222462654115
71.22,204,4.808,186368,91,911,0.2,0.008493712,0.09677734375,-0.009327735767874401,0.33907264471054077,0.0003,-0.9943787220865488,900,12.021729469299316,33.84743525981903
