timesteps,stage_timesteps,reward_mean,episode_len_mean,stage,reward_smooth,episode_len_smooth
327680.0,327680.0,21.662000000000003,36.6,Treino 5x5,20.84111111111111,38.653333333333336
329728.0,329728.0,23.87,32.98,Treino 5x5,21.34288888888889,37.68555555555556
331776.0,331776.0,23.622,33.71,Treino 5x5,21.816999999999997,36.76777777777777
333824.0,333824.0,21.951,36.89,Treino 5x5,22.095555555555556,36.24111111111111
335872.0,335872.0,22.827,34.68,Treino 5x5,22.23144444444445,35.93555555555556
337920.0,337920.0,21.549,37.82,Treino 5x5,22.158333333333335,36.08666666666667
339968.0,339968.0,21.561,37.54,Treino 5x5,22.14488888888889,36.05888888888889
342016.0,342016.0,22.588999999999995,34.85,Treino 5x5,22.162444444444443,36.056666666666665
344064.0,344064.0,24.175999999999995,32.33,Treino 5x5,22.64522222222222,35.266666666666666
346112.0,346112.0,22.153,35.87,Treino 5x5,22.69977777777778,35.18555555555555
348160.0,348160.0,24.398,31.62,Treino 5x5,22.758444444444443,35.034444444444446
350208.0,350208.0,23.55,33.22,Treino 5x5,22.750444444444444,34.980000000000004
352256.0,352256.0,21.556000000000004,37.32,Treino 5x5,22.706555555555553,35.02777777777778
354304.0,354304.0,22.096000000000004,36.64,Treino 5x5,22.62533333333333,35.245555555555555
356352.0,356352.0,21.811,37.4,Treino 5x5,22.654444444444447,35.19888888888889
358400.0,358400.0,22.2,35.99,Treino 5x5,22.725444444444445,35.02666666666667
360448.0,360448.0,21.548,36.82,Treino 5x5,22.60977777777778,35.245555555555555
362496.0,362496.0,22.645000000000003,35.52,Treino 5x5,22.439666666666668,35.6
364544.0,364544.0,22.539,35.5,Treino 5x5,22.482555555555553,35.558888888888895
366592.0,366592.0,24.774,30.83,Treino 5x5,22.52433333333333,35.471111111111114
368640.0,368640.0,22.677000000000003,33.73,Treino 5x5,22.427333333333337,35.52777777777778
370688.0,370688.0,21.166000000000004,38.05,Treino 5x5,22.384,35.608888888888885
372736.0,372736.0,21.966999999999995,37.2,Treino 5x5,22.369666666666667,35.67111111111111
374784.0,374784.0,22.028,37.46,Treino 5x5,22.39377777777778,35.67777777777778
376832.0,376832.0,22.564,36.11,Treino 5x5,22.434222222222225,35.69111111111111
378880.0,378880.0,23.529000000000007,33.43,Treino 5x5,22.654333333333334,35.31444444444445
380928.0,380928.0,20.646,38.44,Treino 5x5,22.432222222222222,35.638888888888886
382976.0,382976.0,20.166,39.67,Treino 5x5,22.168555555555557,36.10222222222222
385024.0,385024.0,23.084000000000007,34.43,Treino 5x5,21.98077777777778,36.50222222222222
387072.0,387072.0,24.132,32.3,Treino 5x5,22.142444444444447,36.343333333333334
389120.0,389120.0,24.058000000000003,32.44,Treino 5x5,22.46377777777778,35.72
391168.0,391168.0,21.75,36.85,Treino 5x5,22.439666666666668,35.68111111111111
393216.0,393216.0,21.904,36.34,Treino 5x5,22.42588888888889,35.556666666666665
395264.0,395264.0,23.263,33.59,Treino 5x5,22.503555555555558,35.27666666666667
397312.0,397312.0,23.982000000000003,32.08,Treino 5x5,22.553888888888892,35.12666666666667
399360.0,399360.0,23.614,32.8,Treino 5x5,22.883666666666667,34.5
401408.0,401408.0,24.096,32.26,Treino 5x5,23.320333333333334,33.67666666666667
403456.0,403456.0,23.397,33.54,Treino 5x5,23.35511111111111,33.577777777777776
405504.0,405504.0,22.562,34.85,Treino 5x5,23.180666666666667,33.861111111111114
407552.0,407552.0,22.531,35.09,Treino 5x5,23.011000000000003,34.15555555555555
409600.0,409600.0,23.344999999999995,33.68,Treino 5x5,23.188222222222223,33.80333333333333
411648.0,411648.0,25.452,29.26,Treino 5x5,23.582444444444448,33.016666666666666
413696.0,413696.0,23.577,33.5,Treino 5x5,23.617333333333335,33.00666666666666
415744.0,415744.0,24.526,31.39,Treino 5x5,23.67777777777778,32.93
417792.0,417792.0,21.4,37.53,Treino 5x5,23.43177777777778,33.455555555555556
419840.0,419840.0,21.338,37.65,Treino 5x5,23.12533333333333,34.05444444444444
421888.0,421888.0,22.335999999999995,35.88,Treino 5x5,23.007444444444445,34.31444444444445
423936.0,423936.0,25.296,29.76,Treino 5x5,23.31122222222222,33.74888888888889
425984.0,425984.0,24.884,30.65,Treino 5x5,23.572666666666667,33.25555555555556
428032.0,428032.0,24.498,31.71,Treino 5x5,23.700777777777777,33.03666666666667
430080.0,430080.0,24.786000000000005,30.54,Treino 5x5,23.626777777777775,33.17888888888889
432128.0,432128.0,23.646,33.02,Treino 5x5,23.634444444444444,33.125555555555565
434176.0,434176.0,24.816,30.68,Treino 5x5,23.666666666666668,33.04666666666667
436224.0,436224.0,25.035999999999994,30.34,Treino 5x5,24.070666666666668,32.24777777777778
438272.0,438272.0,24.414,31.54,Treino 5x5,24.412444444444446,31.56888888888889
440320.0,440320.0,22.892,34.78,Treino 5x5,24.474222222222224,31.446666666666673
442368.0,442368.0,24.072,32.26,Treino 5x5,24.338222222222225,31.724444444444444
444416.0,444416.0,23.738000000000003,32.74,Treino 5x5,24.21088888888889,31.956666666666667
